listing_id,address,source_label,recommended_source,latitude,longitude,coordinate_confidence,notes
10607338,4764 TIMBER RIDGE Road,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest cover; no house or usable lot view visible at any zoom.
10629099,4815 HOLLAND CREEK RIDGE Road,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest/terrain only; no identifiable house or lot.
10587559,4905 LAKEVIEW MEADOWS Close,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Same forested coordinate view as nearby Holland Creek Ridge; no visible house or usable lot detail.
10680493,4958 MERLO Road,Columbia Valley,blocked_arcgis_no_imagery,50.4947386,-115.99099463,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Heavily treed; target area/house and backyard are mostly obscured across zooms.
10623245,5160 RIVERSIDE Drive,Columbia Valley,blocked_arcgis_no_imagery,50.322129,-115.869072,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; View centers on road/parking/commercial-looking area; no clear house plus backyard/lot shown together.
10561093,5401 BOOMERANG Way,Fernie/Sparwood,blocked_arcgis_no_imagery,49.466416,-115.081985,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate appears in dense trees/undeveloped area; no clear house or backyard/lot visible at any zoom.
10588693,885 COPPERVIEW Close,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest canopy obscures any house, driveway, or lot boundaries at all shown zooms."
10613313,964 LAKEVIEW MEADOWS GLEN,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Imagery shows dense forest/terrain only; no identifiable house, backyard, or developed lot visible at any zoom."
10678423,9905 OSPREY LANDING Drive,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.40497809,-115.41899663,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate appears in dense trees near lakeshore; house/backyard not clearly visible together at any zoom.
10604265,4827 HOLLAND Crescent,Columbia Valley,blocked_no_coordinate,36.797727,-119.734824,unresolved,No usable coordinate yet; needs parcel/manual lookup.
